key,attributes
uniredpill,"{""""label"""":""""uniredpill"""",""""x"""":-1113.6929,""""y"""":266.39636,""""size"""":30.909092,""""color"""":""""#ee7993"""",""""type"""":""""account"""",""""emotion"""":""""null""""}"
Rettorino,"{""""label"""":""""Rettorino"""",""""x"""":-985.82056,""""y"""":-14.768654,""""size"""":39.090908,""""color"""":""""#ee7993"""",""""type"""":""""account"""",""""emotion"""":""""null""""}"
ingodwetr,"{""""label"""":""""ingodwetr"""",""""x"""":-1192.9209,""""y"""":-6.4231033,""""size"""":47.272728,""""color"""":""""#ee7993"""",""""type"""":""""account"""",""""emotion"""":""""null""""}"
volpecortese,"{""""label"""":""""volpecortese"""",""""x"""":-1233.6678,""""y"""":-148.40837,""""size"""":28.181818,""""color"""":""""#ee7993"""",""""type"""":""""account"""",""""emotion"""":""""null""""}"
FocaProtonica,"{""""label"""":""""FocaProtonica"""",""""x"""":-923.75854,""""y"""":155.36452,""""size"""":50,""""color"""":""""#ee7993"""",""""type"""":""""account"""",""""emotion"""":""""null""""}"
incel_aidigino,"{""""label"""":""""incel_aidigino"""",""""x"""":-994.53296,""""y"""":-186.32516,""""size"""":47.272728,""""color"""":""""#ee7993"""",""""type"""":""""account"""",""""emotion"""":""""null""""}"
Padanius2,"{""""label"""":""""Padanius2"""",""""x"""":-1139.341,""""y"""":150.73758,""""size"""":30.909092,""""color"""":""""#ee7993"""",""""type"""":""""account"""",""""emotion"""":""""null""""}"
TitvsImperator,"{""""label"""":""""TitvsImperator"""",""""x"""":-1162.4509,""""y"""":-249.34496,""""size"""":28.181818,""""color"""":""""#ee7993"""",""""type"""":""""account"""",""""emotion"""":""""null""""}"
Far-right / Neo-fascist Worldview_Hostility,"{""""label"""":""""Far-right / Neo-fascist Worldview"""",""""x"""":420.33502,""""y"""":126.15808,""""size"""":39.090908,""""color"""":""""#3fb17d"""",""""type"""":""""ideological bubble"""",""""emotion"""":""""Hostility""""}"
Far-right / Neo-fascist Worldview_Superiority,"{""""label"""":""""Far-right / Neo-fascist Worldview"""",""""x"""":417.95856,""""y"""":23.32457,""""size"""":22.727272,""""color"""":""""#3fb17d"""",""""type"""":""""ideological bubble"""",""""emotion"""":""""Superiority""""}"
Far-right / Neo-fascist Worldview_Neutral,"{""""label"""":""""Far-right / Neo-fascist Worldview"""",""""x"""":409.62,""""y"""":237.65263,""""size"""":22.727272,""""color"""":""""#3fb17d"""",""""type"""":""""ideological bubble"""",""""emotion"""":""""Neutral""""}"
Far-right / Neo-fascist Worldview_Entitlement,"{""""label"""":""""Far-right / Neo-fascist Worldview"""",""""x"""":442.10345,""""y"""":-203.07288,""""size"""":22.727272,""""color"""":""""#3fb17d"""",""""type"""":""""ideological bubble"""",""""emotion"""":""""Entitlement""""}"
Manosphere Practices_Hostility,"{""""label"""":""""Manosphere Practices"""",""""x"""":-337.0327,""""y"""":140.44788,""""size"""":33.636364,""""color"""":""""#3fb17d"""",""""type"""":""""ideological bubble"""",""""emotion"""":""""Hostility""""}"
Manosphere Practices_Superiority,"{""""label"""":""""Manosphere Practices"""",""""x"""":-351.48737,""""y"""":51.48021,""""size"""":36.363636,""""color"""":""""#3fb17d"""",""""type"""":""""ideological bubble"""",""""emotion"""":""""Superiority""""}"
Manosphere Practices_Neutral,"{""""label"""":""""Manosphere Practices"""",""""x"""":-346.30066,""""y"""":-64.27329,""""size"""":36.363636,""""color"""":""""#3fb17d"""",""""type"""":""""ideological bubble"""",""""emotion"""":""""Neutral""""}"
Manosphere Practices_Entitlement,"{""""label"""":""""Manosphere Practices"""",""""x"""":-319.82422,""""y"""":-196.93814,""""size"""":30.909092,""""color"""":""""#3fb17d"""",""""type"""":""""ideological bubble"""",""""emotion"""":""""Entitlement""""}"
Manosphere Practices_Resignation,"{""""label"""":""""Manosphere Practices"""",""""x"""":-323.87173,""""y"""":237.0196,""""size"""":28.181818,""""color"""":""""#3fb17d"""",""""type"""":""""ideological bubble"""",""""emotion"""":""""Resignation""""}"
Self-improvement Discourses_Hostility,"{""""label"""":""""Self-improvement Discourses"""",""""x"""":46.654755,""""y"""":145.5077,""""size"""":20,""""color"""":""""#3fb17d"""",""""type"""":""""ideological bubble"""",""""emotion"""":""""Hostility""""}"
Self-improvement Discourses_Superiority,"{""""label"""":""""Self-improvement Discourses"""",""""x"""":44.71118,""""y"""":56.04607,""""size"""":22.727272,""""color"""":""""#3fb17d"""",""""type"""":""""ideological bubble"""",""""emotion"""":""""Superiority""""}"
Self-improvement Discourses_Neutral,"{""""label"""":""""Self-improvement Discourses"""",""""x"""":58.73871,""""y"""":-68.80841,""""size"""":39.090908,""""color"""":""""#3fb17d"""",""""type"""":""""ideological bubble"""",""""emotion"""":""""Neutral""""}"
Self-improvement Discourses_Entitlement,"{""""label"""":""""Self-improvement Discourses"""",""""x"""":51.372375,""""y"""":-195.49503,""""size"""":28.181818,""""color"""":""""#3fb17d"""",""""type"""":""""ideological bubble"""",""""emotion"""":""""Entitlement""""}"
Self-improvement Discourses_Resignation,"{""""label"""":""""Self-improvement Discourses"""",""""x"""":43.79651,""""y"""":232.17606,""""size"""":22.727272,""""color"""":""""#3fb17d"""",""""type"""":""""ideological bubble"""",""""emotion"""":""""Resignation""""}"
